"District","CityDeathPerc"
"Adana",0.0136054421768707
"Adiyaman",0.0090702947845805
"Agri",0.0272108843537415
"Batman",0.00680272108843537
"Bingol",0.0226757369614512
"Bitlis",0.00453514739229025
"Diyarbakir",0.19047619047619
"Erzurum",0.0090702947845805
"Gaziantep",0.00226757369614512
"Hakkari",0.281179138321995
"igdir",0.0408163265306122
"Kars",0.0226757369614512
"Kilis",0.00226757369614512
"Mardin",0.0294784580498866
"Mus",0.0158730158730159
"Osmaniye",0.00226757369614512
"Sanliurfa",0.0090702947845805
"Siirt",0.0204081632653061
"Sirnak",0.231292517006803
"Tunceli",0.018140589569161
"Van",0.0136054421768707
"Tekirdag",0
"Edirne",0
"Kirklareli",0
"Balikesir",0
"Canakkale",0
"izmir1",0
"izmir2",0
"Aydin",0
"Denizli",0
"Mugla",0
"Manisa",0
"Afyonkarahisar",0
"Kutahya",0
"Usak",0
"Bursa",0
"Eskisehir",0
"Bilecik",0
"Kocaeli",0
"Sakarya",0
"Duzce",0
"Bolu",0
"Yalova",0
"Ankara1",0
"Ankara2",0
"Konya",0
"Karaman",0
"Antalya",0
"isparta",0
"Burdur",0
"Mersin",0
"Hatay",0
"Kahramanmaras",0
"Kirikkale",0
"Aksaray",0
"Nigde",0
"Nevsehir",0
"Kirsehir",0
"Kayseri",0
"Sivas",0
"Yozgat",0
"Zonguldak",0
"Karabuk",0
"Bartin",0
"Kastamonu",0
"Cankiri",0
"Sinop",0
"Samsun",0
"Tokat",0
"Corum",0
"Trabzon",0
"Ordu",0
"Giresun",0
"Rize",0
"Artvin",0
"Gumushane",0
"Amasya",0
"Erzincan",0
"Bayburt",0
"Ardahan",0
"Malatya",0
"Elazig",0
"istanbul1",0.00377928933333333
"istanbul2",0.00377928933333333
"istanbul3",0.00377928933333333
