"","Districts"
"1","Adana"
"2","Edirne"
"3","Kutahya"
"4","Usak"
"5","Adiyaman"
"6","Elazig"
"7","Malatya"
"8","Van"
"9","Afyonkarahisar"
"10","Erzincan"
"11","Manisa"
"12","Yozgat"
"13","Agri"
"14","Erzurum"
"15","Kahramanmaras"
"16","Zonguldak"
"17","Amasya"
"18","Eskisehir"
"19","Mardin"
"20","Aksaray"
"21","Ankara1"
"22","Ankara2"
"23","Gaziantep"
"24","Mugla"
"25","Bayburt"
"26","Antalya"
"27","Giresun"
"28","Mus"
"29","Karaman"
"30","Artvin"
"31","Gumushane"
"32","Nevsehir"
"33","Kirikkale"
"34","Aydin"
"35","Hakkkari"
"36","Nigde"
"37","Batman"
"38","Balikesir"
"39","Hatay"
"40","Ordu"
"41","Sirnak"
"42","Bilecik"
"43","Isparta"
"44","Rize"
"45","Bartin"
"46","Bingol"
"47","Mersin"
"48","Sakarya"
"49","Ardahan"
"50","Bitlis"
"51","Istanbul1"
"52","Istanbul2"
"53","Istanbul3"
"54","Samsun"
"55","Igdir"
"56","Bolu"
"57","Izmir1"
"58","Izmir2"
"59","Siirt"
"60","Yalova"
"61","Burdur"
"62","Kars"
"63","Sinop"
"64","Karabuk"
"65","Bursa"
"66","Kastamonu"
"67","Sivas"
"68","Kilis"
"69","Canakkale"
"70","Kayseri"
"71","Tekirdag"
"72","Osmaniye"
"73","Cankari"
"74","Kirklareli"
"75","Tokat"
"76","Duzce"
"77","Corum"
"78","Kirsehir"
"79","Trabzon"
"80","Denizli"
"81","Kocaeli"
"82","Tunceli"
"83","Diyarbakir"
"84","Konya"
"85","Sanliurfa"
