"District","NUTS_Region"
"istanbul1","istanbul"
"istanbul2","istanbul"
"istanbul3","istanbul"
"Tekirdag","Bati Marmara"
"Edirne","Bati Marmara"
"Kirklareli","Bati Marmara"
"Balikesir","Bati Marmara"
"Canakkale","Bati Marmara"
"izmir1","Ege"
"izmir2","Ege"
"Aydin","Ege"
"Denizli","Ege"
"Mugla","Ege"
"Manisa","Ege"
"Afyonkarahisar","Ege"
"Kutahya","Ege"
"Usak","Ege"
"Bursa","Dogu Marmara"
"Eskisehir","Dogu Marmara"
"Bilecik","Dogu Marmara"
"Kocaeli","Dogu Marmara"
"Sakarya","Dogu Marmara"
"Duzce","Dogu Marmara"
"Bolu","Dogu Marmara"
"Yalova","Dogu Marmara"
"Ankara1","Bati Anadolu"
"Ankara2","Bati Anadolu"
"Konya","Bati Anadolu"
"Karaman","Bati Anadolu"
"Antalya","Akdeniz"
"isparta","Akdeniz"
"Burdur","Akdeniz"
"Adana","Akdeniz"
"Mersin","Akdeniz"
"Hatay","Akdeniz"
"Kahramanmaras","Akdeniz"
"Osmaniye","Akdeniz"
"Kirikkale","Orta Anadolu"
"Aksaray","Orta Anadolu"
"Nigde","Orta Anadolu"
"Nevsehir","Orta Anadolu"
"Kirsehir","Orta Anadolu"
"Kayseri","Orta Anadolu"
"Sivas","Orta Anadolu"
"Yozgat","Orta Anadolu"
"Zonguldak","Bati Karadeniz"
"Karabuk","Bati Karadeniz"
"Bartin","Bati Karadeniz"
"Kastamonu","Bati Karadeniz"
"Cankiri","Bati Karadeniz"
"Sinop","Bati Karadeniz"
"Samsun","Bati Karadeniz"
"Tokat","Bati Karadeniz"
"Corum","Bati Karadeniz"
"Trabzon","Bati Karadeniz"
"Ordu","Dogu Karadeniz"
"Giresun","Dogu Karadeniz"
"Rize","Dogu Karadeniz"
"Artvin","Dogu Karadeniz"
"Gumushane","Dogu Karadeniz"
"Amasya","Dogu Karadeniz"
"Erzurum","Kuzeydogu Anadolu"
"Erzincan","Kuzeydogu Anadolu"
"Bayburt","Kuzeydogu Anadolu"
"Agri","Kuzeydogu Anadolu"
"Kars","Kuzeydogu Anadolu"
"igdir","Kuzeydogu Anadolu"
"Ardahan","Kuzeydogu Anadolu"
"Malatya","Ortadogu Anadolu"
"Elazig","Ortadogu Anadolu"
"Bingol","Ortadogu Anadolu"
"Tunceli","Ortadogu Anadolu"
"Van","Ortadogu Anadolu"
"Mus","Ortadogu Anadolu"
"Bitlis","Ortadogu Anadolu"
"Hakkari","Ortadogu Anadolu"
"Gaziantep","Guneydogu Anadolu"
"Adiyaman","Guneydogu Anadolu"
"Kilis","Guneydogu Anadolu"
"Sanliurfa","Guneydogu Anadolu"
"Diyarbakir","Guneydogu Anadolu"
"Mardin","Guneydogu Anadolu"
"Batman","Guneydogu Anadolu"
"Sirnak","Guneydogu Anadolu"
"Siirt","Guneydogu Anadolu"
